PostId,OpenStatus
2054,off topic
2056,not a real question
2058,off topic
2062,not a real question
2063,not a real question
2065,not a real question
2067,open
2068,not a real question
2070,not a real question
2072,not a real question
2073,not a real question
2077,not a real question
2079,not a real question
2085,open
2094,open
2095,not a real question
2096,open
2100,not a real question
2101,not a real question
2103,not a real question
2104,open
2105,not constructive
2113,off topic
2117,open
2118,off topic
2119,open
2120,off topic
2123,open
2126,open
2127,not a real question
2130,off topic
2138,open
2142,not a real question
2143,not a real question
2145,not a real question
2148,not a real question
2151,off topic
2153,not a real question
2154,not a real question
2156,open
2158,not a real question
2160,not constructive
2162,not a real question
2166,open
2169,not a real question
2172,not a real question
2173,not a real question
2176,off topic
2177,off topic
2182,not a real question
2184,not a real question
2187,not a real question
2190,open
2202,open
2213,not a real question
2217,open
2225,open
2228,open
2233,not a real question
2235,open
2238,not a real question
2239,not a real question
2240,open
2243,off topic
2245,not a real question
2249,not constructive
2251,not constructive
2253,off topic
2261,not a real question
2262,not a real question
2267,open
2274,not a real question
2277,off topic
2281,off topic
2282,open
2283,not a real question
2286,not a real question
2288,open
2289,off topic
2290,open
2295,open
2296,off topic
2303,not a real question
2306,not a real question
2316,not a real question
2317,not constructive
2321,open
2324,not a real question
2328,not a real question
2329,open
2332,open
2333,open
2337,open
2338,open
2340,not a real question
2341,open
2343,open
2344,open
2345,not a real question
2347,open
2351,not a real question
2355,not a real question
2357,open
2364,not a real question
2370,not a real question
2374,not a real question
2376,open
2381,off topic
2383,open
2385,not constructive
2388,open
2390,not a real question
2403,not a real question
2408,open
2411,open
2414,not a real question
2416,not constructive
2422,open
2423,not a real question
2424,not a real question
2428,not a real question
2430,not a real question
2431,not a real question
2433,off topic
2435,not a real question
2438,not a real question
2441,off topic
2443,open
2444,not a real question
2447,not a real question
2452,off topic
2454,not a real question
2455,not a real question
2460,not a real question
2462,not a real question
2464,not a real question
2466,open
2468,open
2469,not a real question
2470,not a real question
2472,not a real question
2473,not a real question
2476,not a real question
2477,not a real question
2478,not a real question
2482,not a real question
2483,open
2485,not constructive
2486,open
2488,not a real question
2496,open
2497,not a real question
2501,open
2504,not a real question
2505,open
2507,open
2509,not constructive
2510,not a real question
2515,open
2517,not a real question
2518,not a real question
2521,not a real question
2522,not a real question
2523,not a real question
2531,not a real question
2535,not a real question
2537,off topic
2538,not a real question
2540,open
2542,off topic
2543,not a real question
2544,not a real question
2545,off topic
2551,open
2552,open
2554,not a real question
2555,open
2558,not constructive
2559,not a real question
2560,open
2561,not a real question
2563,not a real question
2571,not a real question
2572,open
2574,not a real question
2577,not a real question
2578,off topic
2581,open
2582,open
2583,off topic
2585,not a real question
2586,open
2588,not a real question
2589,not a real question
2595,not a real question
2596,open
2598,open
2600,off topic
2601,open
2602,not a real question
2603,not a real question
2604,not a real question
2608,off topic
2609,open
2616,open
2620,not a real question
2627,not constructive
2632,not a real question
2636,off topic
2643,open
2644,not constructive
2645,open
2647,open
2648,not a real question
2652,open
2656,not a real question
2657,not a real question
2659,not a real question
2660,open
2661,open
2663,off topic
2664,not constructive
2670,open
2671,not constructive
2680,open
2681,off topic
2682,not a real question
2690,open
2691,not a real question
2692,open
2696,open
2697,not a real question
2698,off topic
2704,not a real question
2715,off topic
2718,open
2719,not a real question
2720,not a real question
2721,open
2722,not a real question
2723,not a real question
2725,off topic
2726,not a real question
2727,not a real question
2728,not a real question
2731,not a real question
2733,open
2734,not a real question
2737,not a real question
2743,off topic
2746,off topic
2751,not a real question
2754,open
2757,not a real question
2763,open
2765,not a real question
2767,open
2769,not a real question
2771,not a real question
2776,not a real question
2782,not a real question
2785,not a real question
2787,not a real question
2792,not a real question
2795,not a real question
2796,open
2798,off topic
2802,open
2804,not a real question
2807,off topic
2811,not a real question
2812,not a real question
2813,open
2816,open
2819,open
2823,not a real question
2825,not a real question
2827,not a real question
2835,open
2838,not a real question
2842,not a real question
2843,not constructive
2845,not a real question
2848,not a real question
2849,not constructive
2850,not a real question
2854,open
2855,not a real question
2857,open
2858,open
2859,not a real question
2861,open
2862,not a real question
2864,not a real question
2866,not a real question
2867,not a real question
2870,not a real question
2872,not a real question
2877,not a real question
2880,not a real question
2881,open
2884,not a real question
2887,not a real question
2888,not a real question
2889,not a real question
2891,not a real question
2894,not constructive
2896,not a real question
2898,off topic
2899,open
2900,not a real question
2902,not a real question
2903,not a real question
2904,not a real question
2907,not constructive
2910,not a real question
2914,open
2915,not a real question
2916,not a real question
2917,open
2922,open
2923,off topic
2928,off topic
2929,off topic
2930,not constructive
2932,off topic
2935,not a real question
2943,open
2944,open
2952,open
2961,open
2962,open
2963,not a real question
2965,not a real question
2972,not a real question
2976,off topic
2977,not a real question
2980,not a real question
2982,not a real question
2983,not a real question
2984,not a real question
2986,not a real question
2987,off topic
3003,not a real question
3005,open
3006,open
3007,open
3008,not a real question
3014,open
3015,not a real question
3021,not a real question
3026,off topic
3029,not a real question
3031,not a real question
3036,not a real question
3038,open
3040,open
3041,not a real question
3042,open
3044,not a real question
3050,open
3051,not a real question
3056,not a real question
3058,open
3059,not a real question
3060,not constructive
3061,not a real question
3064,not a real question
3071,not a real question
3072,open
3073,not a real question
3075,not a real question
3084,open
3094,open
3100,not a real question
3104,open
3107,not a real question
3108,not a real question
3110,open
3111,not a real question
3113,off topic
3114,off topic
3115,not constructive
3117,off topic
3118,not a real question
3120,open
3121,open
3122,not a real question
3125,not a real question
3130,open
3139,not a real question
3141,not constructive
3145,open
3147,off topic
3148,not a real question
3149,off topic
3154,not constructive
3159,not a real question
3162,not a real question
3165,off topic
3172,not a real question
3174,off topic
3175,open
3176,open
3177,open
3185,not a real question
3186,not a real question
3187,not a real question
3193,open
3194,open
3195,open
3196,open
3198,not a real question
3202,off topic
3203,not a real question
3204,not a real question
3208,not a real question
3210,open
3211,off topic
3212,not constructive
3218,not a real question
3222,not a real question
3223,not a real question
3226,open
3228,not a real question
3229,open
3230,open
3235,not a real question
3238,open
3243,not constructive
3245,not a real question
3246,not a real question
3248,off topic
3252,not a real question
3260,open
3262,off topic
3263,off topic
3264,open
3267,not a real question
3270,not a real question
3272,not constructive
3279,open
3288,not a real question
3290,not a real question
3292,open
3299,open
3303,off topic
3306,open
3310,not a real question
3311,open
3313,not a real question
3314,open
3317,not constructive
3319,open
3324,not a real question
3325,not a real question
3327,not a real question
3330,not a real question
3333,open
3334,open
3343,not a real question
3344,not a real question
3346,open
3348,not a real question
3349,off topic
3352,open
3353,not a real question
3355,not a real question
3357,off topic
3362,not a real question
3363,open
3366,off topic
3367,not a real question
3371,not a real question
3372,not a real question
3376,off topic
3378,not a real question
3379,open
3380,not a real question
3382,off topic
3386,open
3387,open
3388,open
3395,open
3396,not a real question
3400,off topic
3408,not a real question
3410,not a real question
3412,open
3414,not a real question
3415,not a real question
3417,off topic
3418,not a real question
3422,off topic
3427,not a real question
3433,not a real question
3434,off topic
3435,off topic
3441,not a real question
3442,open
3445,not a real question
3448,not a real question
3451,not a real question
3452,not a real question
3453,open
3454,not a real question
3455,not a real question
3464,off topic
3469,not a real question
3470,not constructive
3471,not a real question
3472,not a real question
3477,off topic
3481,off topic
3483,off topic
3485,not a real question
3489,not a real question
3490,not a real question
3493,not a real question
3494,open
3496,off topic
3500,not a real question
3502,off topic
3505,not a real question
3508,off topic
3509,not a real question
3514,open
3515,not a real question
3518,not a real question
3521,open
3522,off topic
3528,not constructive
3529,not a real question
3530,open
3533,off topic
3534,not a real question
3536,not a real question
3541,open
3543,not a real question
3544,off topic
3545,open
3547,off topic
3549,not a real question
3550,not constructive
3561,not a real question
3563,not a real question
3565,open
3569,off topic
3570,not a real question
3573,not a real question
3575,open
3582,not a real question
3585,not a real question
3589,off topic
3592,open
3596,not a real question
3597,not a real question
3603,not a real question
3608,open
3610,not a real question
3611,off topic
3612,open
3613,not a real question
3615,not a real question
3617,open
3625,not a real question
3627,open
3628,off topic
3630,open
3631,not a real question
3632,open
3638,not a real question
3639,not a real question
3643,open
3644,not a real question
3645,off topic
3649,not a real question
3652,off topic
3654,not a real question
3655,open
3658,open
3659,not constructive
3661,not a real question
3663,off topic
3670,not a real question
3671,off topic
3674,open
3675,open
3676,off topic
3678,open
3685,open
3686,open
3687,not a real question
3689,not constructive
3692,open
3694,open
3695,not a real question
3697,not a real question
3699,not a real question
3703,open
3705,not a real question
3714,not a real question
3715,not a real question
3716,not constructive
3719,open
3720,not a real question
3724,off topic
3726,not a real question
3727,not a real question
3729,open
3731,not a real question
3733,not a real question
3736,open
3739,open
3744,not constructive
3746,open
3753,open
3755,not a real question
3756,not a real question
3760,open
3765,not a real question
3766,not a real question
3767,open
3771,not a real question
3775,open
3776,off topic
3778,not a real question
3779,off topic
3780,not constructive
3783,not constructive
3785,open
3786,off topic
3788,open
3789,not a real question
3790,not a real question
3793,not constructive
3795,not a real question
3796,open
3800,open
3801,not constructive
3805,not a real question
3806,open
3807,not constructive
3811,not a real question
3813,not a real question
3814,open
3822,not a real question
3823,not a real question
3824,open
3825,open
3828,not a real question
3830,not a real question
3831,not a real question
3837,off topic
3841,not a real question
3842,off topic
3844,open
3847,not a real question
3853,not a real question
3855,not a real question
3863,not a real question
3865,open
3866,not a real question
3867,open
3872,not constructive
3874,not a real question
3875,not a real question
3877,off topic
3886,not a real question
3894,not constructive
3897,open
3898,not a real question
3904,off topic
3907,not a real question
3908,not a real question
3912,not a real question
3914,not a real question
3917,not a real question
3918,open
3919,not a real question
3922,off topic
3923,off topic
3924,not a real question
3927,off topic
3928,not a real question
3930,open
3933,off topic
3935,off topic
3936,not a real question
3938,open
3945,not a real question
3947,not a real question
3948,not a real question
3955,not a real question
3958,open
3961,not a real question
3963,open
3968,not constructive
3970,open
3971,not a real question
3972,open
3978,off topic
3985,not a real question
4002,not a real question
4003,open
4005,off topic
4007,not a real question
4010,off topic
4011,not constructive
4017,open
4019,not a real question
4022,open
4023,not a real question
4028,not a real question
4030,not a real question
4031,open
4034,not a real question
4040,off topic
4043,open
4046,not constructive
4049,open
4052,open
4053,not a real question
4054,off topic
4055,not a real question
4057,not a real question
4060,not a real question
4064,not a real question
4065,not a real question
4066,not a real question
4067,not a real question
4075,not a real question
4076,open
4078,off topic
4080,not a real question
4081,open
4082,off topic
4084,open
4091,too localized
4094,open
4096,not constructive
4098,open
4099,off topic
4100,off topic
4102,open
4106,not a real question
4114,open
4116,not a real question
4117,open
4122,not a real question
4126,not a real question
4129,not a real question
4130,open
4131,not a real question
4133,not constructive
4135,not a real question
4136,open
4137,open
4138,not a real question
4145,not a real question
4147,not a real question
4150,not a real question
4153,not a real question
4157,open
4160,not a real question
4162,open
4164,off topic
4169,off topic
4170,not constructive
4171,not a real question
4174,not a real question
4178,off topic
4182,not a real question
4183,open
4184,not a real question
4187,off topic
4190,off topic
4198,not a real question
4200,not a real question
4203,open
4206,open
4207,not a real question
4209,not constructive
4211,off topic
4213,off topic
4215,open
4216,not a real question
4217,not a real question
4220,not a real question
4221,open
4224,open
4230,off topic
4234,not constructive
4237,not a real question
4241,not constructive
4247,open
4249,open
4250,not a real question
4252,open
4255,off topic
4261,not a real question
4264,not a real question
4268,off topic
4272,not a real question
4275,not a real question
4276,open
4278,off topic
4279,open
4282,not constructive
4287,off topic
4288,not a real question
4289,open
4294,off topic
4295,open
4296,not a real question
4298,not a real question
4299,not constructive
4300,off topic
4307,off topic
4308,open
4312,not a real question
4314,open
4315,open
4320,open
4322,not a real question
4324,open
4325,off topic
4327,not a real question
4328,open
4330,not a real question
4337,open
4341,not a real question
4342,not a real question
4345,not a real question
4348,not a real question
4350,open
4353,not a real question
4354,open
4355,not a real question
4357,not a real question
4362,not a real question
4363,open
4365,not a real question
4366,not a real question
4367,open
4369,not a real question
4373,off topic
4374,not constructive
4375,not a real question
4381,not a real question
4382,not a real question
4383,not a real question
4384,not a real question
4389,off topic
4393,not a real question
4395,not a real question
4401,not constructive
4403,open
4409,not a real question
4413,not a real question
4416,not a real question
4417,not constructive
4420,open
4423,not a real question
4424,not constructive
4429,off topic
4433,not a real question
4434,not a real question
4436,not constructive
4438,not a real question
4447,not a real question
4450,open
4451,off topic
4453,not a real question
4454,not a real question
4455,not a real question
4456,not a real question
4457,open
4461,open
4462,not a real question
4465,not a real question
4467,open
4468,not a real question
4472,off topic
4473,not a real question
4481,open
4482,not constructive
4483,not a real question
4486,not a real question
4487,open
4489,open
4490,not a real question
4491,off topic
4497,off topic
4498,not a real question
4500,off topic
4501,not a real question
4507,open
4508,open
4513,off topic
4515,not a real question
4517,off topic
4518,open
4519,not a real question
4520,not a real question
4527,open
4529,not a real question
4530,not a real question
4531,open
4532,open
4533,open
4538,open
4539,open
4540,not a real question
4541,open
4543,not a real question
4544,not a real question
4547,open
4548,open
4551,not a real question
4554,off topic
4556,not a real question
4558,not constructive
4560,open
4563,not a real question
4567,not a real question
4569,not a real question
4571,open
4572,open
4576,off topic
4577,not a real question
4579,not a real question
4580,open
4583,not a real question
4588,not a real question
4591,not a real question
4595,not a real question
4596,not a real question
4598,not a real question
4600,not a real question
4606,not a real question
4608,not a real question
4610,not a real question
4613,off topic
4620,not a real question
4622,open
4628,off topic
4630,open
4636,not a real question
4638,not a real question
4641,off topic
4647,not constructive
4654,off topic
4656,open
4660,not a real question
4662,open
4663,open
4668,not a real question
4672,open
4673,not a real question
4678,not a real question
4679,not a real question
4683,not a real question
4687,off topic
4688,open
4691,not a real question
4696,not a real question
4697,open
4701,not a real question
4702,not a real question
4703,not a real question
4704,not a real question
4706,open
4708,open
4709,not a real question
4713,open
4717,not constructive
4719,not a real question
4724,not a real question
4727,open
4732,not a real question
4739,not a real question
4741,open
4748,off topic
4749,not a real question
4751,open
4755,not a real question
4756,open
4757,open
4759,open
4760,open
4762,not a real question
4763,not a real question
4767,off topic
4768,not constructive
4769,open
4770,open
4777,not a real question
4778,not a real question
4780,not a real question
4781,not a real question
4782,not constructive
4783,not a real question
4786,not constructive
4787,open
4790,open
4793,off topic
4799,not a real question
4806,off topic
4810,open
4813,not a real question
4815,open
4818,off topic
4819,not a real question
4821,not constructive
4828,not a real question
4829,not a real question
4832,not a real question
4834,open
4840,open
4848,not a real question
4851,not a real question
4852,not a real question
4853,not a real question
4857,open
4861,not constructive
4862,not a real question
4865,not a real question
4867,open
4868,not a real question
4872,not a real question
4873,open
4875,open
4879,not a real question
4880,open
4881,not a real question
4884,not a real question
4886,open
4890,not a real question
4897,not a real question
4901,not a real question
4904,off topic
4905,off topic
4908,not a real question
4911,open
4915,not constructive
4918,open
4919,off topic
4921,open
4924,not a real question
4925,not a real question
4926,open
4932,not a real question
4935,open
4936,not a real question
4938,not a real question
4940,not a real question
4945,not a real question
4946,not a real question
4949,off topic
4951,off topic
4955,open
4957,not constructive
4960,open
4963,open
4964,not a real question
4965,open
4969,open
4970,not a real question
4972,not a real question
4978,open
4979,open
4982,open
4983,off topic
4987,not a real question
4992,not a real question
4993,not a real question
4994,open
4995,not a real question
4997,off topic
4998,open
4999,not a real question
5000,not a real question
5004,open
5005,open
5006,open
5008,not a real question
5015,not a real question
5016,open
5018,not a real question
5019,not a real question
5020,not a real question
5021,off topic
5023,not a real question
5026,not a real question
5027,not a real question
5033,open
5039,not a real question
5042,not constructive
5044,not a real question
5046,not constructive
5048,open
5049,not a real question
5050,not a real question
5053,off topic
5059,open
5060,open
5064,open
5066,not a real question
5069,not a real question
5070,open
5072,not a real question
5073,off topic
5074,open
5075,open
5079,open
5081,not a real question
5085,not a real question
5086,not a real question
5087,not a real question
5089,open
5090,open
5091,not a real question
5096,not a real question
5101,not a real question
5107,open
5108,not a real question
5109,not a real question
5110,off topic
5114,not constructive
5115,open
5116,not a real question
5117,off topic
5120,not a real question
5123,not a real question
5124,not a real question
5126,open
5127,not a real question
5131,not a real question
5133,open
5134,not constructive
5140,off topic
5141,open
5145,open
5146,not a real question
5149,not a real question
5150,not a real question
5152,not a real question
5157,open
5158,open
5160,off topic
5161,open
5173,not a real question
5174,off topic
5178,not a real question
5180,off topic
5183,not a real question
5184,not a real question
5186,off topic
5187,not a real question
5188,not constructive
5189,open
5192,not a real question
5193,not a real question
5198,not a real question
5202,not constructive
5208,off topic
5213,open
5220,off topic
5221,open
5225,not a real question
5227,not a real question
5232,not a real question
5233,not constructive
5234,not a real question
5237,not a real question
5243,not a real question
5245,not a real question
5246,not a real question
5247,open
5249,open
5251,open
5253,off topic
5256,not a real question
5257,not constructive
5258,not constructive
5263,off topic
5264,not a real question
5265,not a real question
5270,open
5275,not a real question
5276,not constructive
5278,not a real question
5288,not a real question
5290,not a real question
5292,not a real question
5293,off topic
5295,not a real question
5298,off topic
5303,open
5305,not a real question
5307,open
5308,off topic
5309,not constructive
5312,not a real question
5315,open
5316,not a real question
5317,not a real question
5319,open
5322,off topic
5323,not a real question
5326,not a real question
5327,open
5332,not a real question
5333,not a real question
5335,off topic
5343,not a real question
5348,open
5353,off topic
5354,not a real question
5357,not a real question
5360,open
5361,off topic
5362,not a real question
5366,open
5367,not a real question
5368,not a real question
5369,not a real question
5371,open
5373,not a real question
5374,open
5376,not a real question
5377,not a real question
5378,open
5379,not a real question
5380,not a real question
5383,open
5384,open
5386,not a real question
5390,open
5392,off topic
